EDDIE,"Project EDDIE (Environmental Data-Driven Inquiry and Exploration) is a suite of education projects composed of STEM disciplinary and educational researchers. We develop flexible classroom teaching modules using large, publicly available datasets to engage students in STEM and improve their quantitative reasoning. Teaching modules span topics such as ecology, limnology, geology, hydrology, and environmental sciences. EDDIE also helps build the associated professional development needed to ensure effective use of the teaching modules."
Macro,"Macrosystems ecology is the study of ecological dynamics at multiple interacting spatial and temporal scales. Our interdisciplinary team is developing flexible classroom modules that introduce undergraduate students to the core concepts of macrosystems ecology and ecological forecasting, supported by the NSF Macrosystems Biology program grant 1926050."
macro_EF,"We have developed the following four modules within the Macrosystems EDDIE framework to teach undergraduates to produce, interpret, and communicate ecological forecasts"
eco_forecast,"Ecological forecasting is a tool that can be used for understanding and predicting changes in populations, communities, and ecosystems. Ecological forecasting is an emerging approach which provides an estimate of the future state of an ecological system with uncertainty, allowing society to prepare for changes in important ecosystem services. Ecological forecasters develop and update forecasts using the iterative forecasting cycle, in which they make a hypothesis of how an ecological system works; embed their hypothesis in a model; and use the model to make a forecast of future conditions. When observations become available, they can assess the accuracy of their forecast, which indicates if their hypothesis is supported or needs to be updated before the next forecast is generated."
theme_mod8,"The theme of this module is understanding how forecasts are connected to decision-making. Ecological forecasts have vast potential for aiding decision-making for range of different users, yet forecast results may be challenging to understand because they inherently are associated with uncertainty in alternate future outcomes which have not yet occurred. This module will teach students different ways to visualize forecasts; how uncertainty in forecast visualizations can influence decision-making; and to create their own visualizations of probabilistic ecological forecasts tailored to a specific user.  "
LO1,Describe what ecological forecasts are and how they are used (Activity A)
LO2,"Identify the components of a structured decision (Activity A, B, C)"
LO3,"Discuss how forecast uncertainty relates to decision-making (Activity A, B, C)"
LO4,"Understand how stakeholder needs affect forecasting decision support (Activity B, C)"
LO5,"Identify different ways to represent uncertainty in a visualization (Activity A, B, C)"
LO6,Create visualizations tailored to specific stakeholders (Activity C)
privacy_policy,This Shiny App does not collect or store your any of your data.
