date_forecast_made,days_ahead,forecast_ugL,CI_boundary,upper_CI,lower_CI,date_of_forecast,budget_proceed,budget_cancel,budget_after_low_cost,forecast_after_high_cost,upper_CI_after_high_cost,lower_CI_after_high_cost,budget_after_high_cost
2021-07-18,1,37,2,39,35,2021-07-19,1000,0,700,37,39,35,200
2021-07-17,2,39,3.2,42.2,35.8,2021-07-19,1000,0,700,39,42.2,35.8,200
2021-07-16,3,36,3.7,39.7,32.3,2021-07-19,1000,0,700,36,39.7,32.3,200
2021-07-15,4,33,4.6,37.6,28.4,2021-07-19,1000,0,700,33,37.6,28.4,200
2021-07-14,5,29,6.5,35.5,22.5,2021-07-19,1000,0,700,29,35.5,22.5,200
2021-07-13,6,39,6.8,45.8,32.2,2021-07-19,1000,0,700,39,45.8,32.2,200
2021-07-12,7,32,7,39,25,2021-07-19,1000,0,700,32,39,25,200
2021-07-11,8,28,7.6,35.6,20.4,2021-07-19,1000,0,700,28,35.6,20.4,200
2021-07-10,9,27,8,35,19,2021-07-19,1000,0,700,27,35,19,200
2021-07-09,10,24,8.7,32.7,15.3,2021-07-19,1000,0,700,24,32.7,15.3,200
2021-07-08,11,24,9.9,33.9,14.1,2021-07-19,1000,0,700,24,33.9,14.1,200
2021-07-07,12,26,9.9,35.9,16.1,2021-07-19,1000,0,700,26,35.9,16.1,200
2021-07-06,13,24,10.3,34.3,13.7,2021-07-19,1000,0,700,24,34.3,13.7,200
2021-07-05,14,22,10.8,32.8,11.2,2021-07-19,1000,0,700,22,32.8,11.2,200
2021-07-04,15,23,11.5,34.5,11.5,2021-07-19,1000,0,700,23,34.5,11.5,200
2021-07-03,16,22,12,34,10,2021-07-19,1000,0,700,22,34,10,200
